Index,SongName,Artist,Genre,ID,Length,Explicit,PercentRating
98,(Remember The Days Of The) Old Schoolyard,Cat Stevens,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",2EMAivXu3DdUtYgWMTCR0e,164826,FALSE,42
99,(Say) You're My Girl,Roy Orbison,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']",6qJSIEaUw2VDYRzzHcKjqm,165426,FALSE,12
100,(Shake Shake Shake) Shake Your Booty,KC And The Sunshine Band,"['disco', 'funk', 'motown', 'soft rock']",3Is0Nnz59rzbNZE491URlY,186906,FALSE,53
101,(She's Got) Skillz,All-4-One,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'urban contemporary']",4tlryZypTlbIaa7YrgxCSN,245066,FALSE,34
102,(She's Just A) Fallen Angel,Starz,"[]",12SwPuYZXZ0dKHzSwN9ybg,212813,FALSE,9
103,(she's) pretty + 17,Stray Cats,"['instrumental surf', 'rock-and-roll', 'rockabilly']",5x5FUXjs53WbPuTwT6WD8d,194066,FALSE,42
104,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,"['jazz blues', 'jazz saxophone', 'soul', 'soul jazz']",4RJZSPNQcA7PG8AtNTm4fG,161573,FALSE,6
105,(Sittin' On) The Dock Of The Bay,Michael Bolton,"['adult standards', 'soft rock']",0tvKT0EdO4Gm1nw7rgiHHa,231240,FALSE,39
106,(Sittin' On) The Dock Of The Bay,Otis Redding,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",3zBhihYUHBmGd2bcQIobrF,163755,FALSE,73
107,(Sittin' On) The Dock Of The Bay,Sammy Hagar,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'metal', 'rock', 'soft rock']",3LMelxlaociDgqIzLR1eAz,182466,FALSE,12
108,(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,"['bossa nova', 'brazilian jazz', 'samba']",0HJ545UgMU7ttqYHFvb6pn,191760,FALSE,26
109,(Sittin' On) The Dock Of The Bay,The Reddings,"['funk', 'post-disco', 'post-disco soul']",785NElmjepfzUQVXQcBVxv,163000,FALSE,9
110,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",3lrSnngQqNWgvQmcFbCJCx,145264,FALSE,47
111,(That's) What The Nitty Gritty Is,Shirley Ellis,"['northern soul']",0YgdjmDh0OEGyFsMBHjEoH,154760,FALSE,20
112,(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,"['northern soul']",7eGLhn6AJNiXJUS7VawiUK,133706,FALSE,2
113,(The Best Part Of) Breakin' Up,The Ronettes,"['adult standards', 'brill building pop', 'classic girl group', 'motown']",6HfubSk3SSjTwZq47HLh1z,184346,FALSE,27
114,(The Lament Of The Cherokee) Indian Reservation,Don Fardon,"['classic uk pop']",04RM7D5FZzFahr4L6QOuW6,201200,FALSE,14
115,(The Lights Went Out In) Massachusetts,Bee Gees,"['adult standards', 'disco', 'mellow gold', 'soft rock']",33YKKW1MaDUwq7GDw3WOqR,176320,FALSE,5
116,(The Man Who Shot) Liberty Valance,Gene Pitney,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",2ZHxl0iAc5mwJFX6Y5TvRU,178440,FALSE,41
117,(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,"['canadian celtic', 'celtic', 'irish folk', 'irish pub song']",6ZGHt5l3B8C64NV6uiJmEQ,160800,FALSE,11
118,(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",2IfpSQcggsntXGjXRFWj1b,260852,FALSE,40
119,(Theme From) Any Number Can Win,Jimmy Smith,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']",2f3vUTMZ5JL2GauxqDC0la,131573,FALSE,10
